id,agent,user,user_id,repo_id,html_url,api_url,status,http_status,additions,deletions,changed_files,commits,author_association,draft,maintainer_can_modify,github_merged,github_state,rate_limit_remaining,rate_limit_reset,fetched_at,error
3151661890,OpenAI_Codex,RchGrav,643233,997659566,https://github.com/RchGrav/claudebox/pull/7,https://api.github.com/repos/RchGrav/claudebox/pulls/7,ok,200,1,1,1,1,OWNER,False,False,True,closed,4320,1780523753,2026-06-03T21:14:53.983534+00:00,
3086912526,OpenAI_Codex,wintonzheng,5225702,764723738,https://github.com/Skyvern-AI/skyvern/pull/2441,https://api.github.com/repos/Skyvern-AI/skyvern/pulls/2441,ok,200,21,17,6,1,CONTRIBUTOR,False,False,False,closed,4319,1780523753,2026-06-03T21:14:55.082455+00:00,
3128208281,OpenAI_Codex,panarch,2025065,227265548,https://github.com/gluesql/gluesql/pull/1614,https://api.github.com/repos/gluesql/gluesql/pulls/1614,ok,200,0,4,4,1,MEMBER,False,False,True,closed,4318,1780523753,2026-06-03T21:14:56.302753+00:00,
3243971111,OpenAI_Codex,dlwh,9633,496005961,https://github.com/stanford-crfm/levanter/pull/1070,https://api.github.com/repos/marin-community/levanter/pulls/1070,ok,200,3,3,1,1,MEMBER,False,False,True,closed,4316,1780523753,2026-06-03T21:14:58.065281+00:00,
3247433922,OpenAI_Codex,lee101,2122616,975734319,https://github.com/sst/opencode/pull/1186,https://api.github.com/repos/anomalyco/opencode/pulls/1186,ok,200,34,1,8,2,NONE,False,False,False,closed,4314,1780523753,2026-06-03T21:14:59.890022+00:00,
3203726009,OpenAI_Codex,andrewm4894,2178292,658849262,https://github.com/andrewm4894/anomstack/pull/162,https://api.github.com/repos/andrewm4894/anomstack/pulls/162,ok,200,85,0,1,1,OWNER,False,False,True,closed,4313,1780523753,2026-06-03T21:15:01.111353+00:00,
3212218608,Claude_Code,nilo19,36728755,126132964,https://github.com/kubernetes-sigs/cloud-provider-azure/pull/9250,https://api.github.com/repos/kubernetes-sigs/cloud-provider-azure/pulls/9250,ok,200,247,33,13,2,CONTRIBUTOR,False,False,True,closed,4312,1780523753,2026-06-03T21:15:02.310271+00:00,
3213150585,OpenAI_Codex,simonw,9599,104670293,https://github.com/simonw/simonwillisonblog/pull/546,https://api.github.com/repos/simonw/simonwillisonblog/pulls/546,ok,200,21,1,5,1,OWNER,False,False,True,closed,4311,1780523753,2026-06-03T21:15:03.534523+00:00,
3098694860,OpenAI_Codex,rickwierenga,36956818,524145041,https://github.com/PyLabRobot/pylabrobot/pull/531,https://api.github.com/repos/PyLabRobot/pylabrobot/pulls/531,ok,200,97,0,1,1,MEMBER,False,False,False,closed,4310,1780523753,2026-06-03T21:15:04.986767+00:00,
3184586878,OpenAI_Codex,denysbutenko,351613,90044084,https://github.com/truenas/webui/pull/12188,https://api.github.com/repos/truenas/webui/pulls/12188,ok,200,58,15,8,4,CONTRIBUTOR,False,False,True,closed,4309,1780523753,2026-06-03T21:15:06.339765+00:00,
3199294664,OpenAI_Codex,toyamarinyon,535254,845317529,https://github.com/giselles-ai/giselle/pull/1345,https://api.github.com/repos/giselles-ai/giselle/pulls/1345,ok,200,5,3,2,1,CONTRIBUTOR,False,False,True,closed,4308,1780523753,2026-06-03T21:15:07.500468+00:00,
3081150843,OpenAI_Codex,felixtrz,11973041,720999772,https://github.com/elixr-games/elics/pull/35,https://api.github.com/repos/elixr-games/elics/pulls/35,ok,200,95,77,1,1,COLLABORATOR,True,False,False,closed,4307,1780523753,2026-06-03T21:15:08.571437+00:00,
3072576759,OpenAI_Codex,sunner,255413,832552991,https://github.com/ai-shifu/ai-shifu/pull/468,https://api.github.com/repos/ai-shifu/ai-shifu/pulls/468,ok,200,1,1,1,4,MEMBER,False,False,False,closed,4306,1780523753,2026-06-03T21:15:10.159205+00:00,
